# Forced photometry light curve of ZTF18abktckv
# BJD mag mag_err PID
# 
2459023.94495 15.370 0.001 3
2459023.94541 15.365 0.001 3
2459023.94588 15.361 0.001 3
2459023.94635 15.361 0.001 3
2459023.94681 15.356 0.001 3
2459023.94729 15.364 0.001 3
2459023.94775 15.347 0.001 3
2459023.94823 15.365 0.001 3
2459023.94869 15.356 0.001 3
2459023.94915 15.372 0.001 3
2459023.94963 15.347 0.001 3
2459023.95009 15.368 0.001 3
2459023.95056 15.363 0.001 3
2459023.95103 15.375 0.001 3
2459023.95149 15.361 0.001 3
2459023.95197 15.345 0.001 3
2459023.95243 15.378 0.001 3
2459023.95290 15.358 0.001 3
2459023.95337 15.364 0.001 3
2459023.95384 15.365 0.001 3
2459023.95430 15.374 0.001 3
2459023.95477 15.372 0.001 3
2459023.95524 15.372 0.001 3
2459023.95570 15.361 0.001 3
2459023.95618 15.363 0.001 3
2459023.95664 15.371 0.001 3
2459023.95712 15.355 0.001 3
2459023.95758 15.346 0.001 3
2459023.95805 15.363 0.001 3
2459023.95852 15.366 0.001 3
2459023.95899 15.361 0.001 3
2459023.95945 15.363 0.001 3
2459023.95992 15.371 0.001 3
2459023.96039 15.364 0.001 3
2459023.96085 15.355 0.001 3
2459023.96132 15.354 0.001 3
2459024.98428 15.366 0.002 1
2459025.89859 15.354 0.001 1
2459028.96497 15.349 0.001 1
2459035.87824 15.362 0.003 1
2459036.87650 15.359 0.002 1
2459038.87530 15.377 0.002 1
2459042.98737 15.354 0.002 1
2459044.88635 15.354 0.001 1
2459044.98306 15.368 0.001 1
2459046.93335 15.361 0.001 1
2459047.90573 15.374 0.001 1
2459048.85674 15.371 0.001 1
2459050.95349 15.357 0.001 1
2459051.89915 15.361 0.001 1
2459052.90007 15.382 0.001 1
2459053.95091 15.346 0.001 1
2459054.88909 15.372 0.001 1
2459055.87948 15.357 0.001 1
2459056.88396 15.367 0.001 1
2459057.87438 15.355 0.001 1
2459059.83357 15.383 0.001 1
2459059.86075 15.343 0.001 1
2459061.78697 15.330 0.002 1
2459062.82119 15.374 0.002 1
2459063.81353 15.354 0.002 1
2459064.86793 15.367 0.003 1
2459065.88696 15.361 0.003 1
2459065.90921 15.357 0.003 1
2459068.86021 15.374 0.002 1
2459068.86813 15.367 0.002 1
2459069.95300 15.368 0.002 1
2459071.89978 15.379 0.001 1
2459072.83819 15.382 0.001 1
2459075.81734 15.369 0.001 1
2459076.87664 15.374 0.001 1
2459078.79922 15.369 0.001 1
2459078.81346 15.359 0.001 1
2459079.87297 15.377 0.001 1
2459080.83762 15.361 0.002 1
2459081.87051 15.371 0.001 1
2459086.85625 15.376 0.001 1
2459087.77607 15.361 0.002 1
2459087.81516 15.365 0.001 1
2459094.82695 15.378 0.004 1
2459094.83211 15.379 0.005 1
2459096.69526 15.352 0.003 2
2459096.79868 15.369 0.002 3
2459096.81929 15.359 0.002 1
2459097.77458 15.364 0.002 2
2459097.78162 15.352 0.002 1
2459097.78255 15.355 0.002 3
2459097.96629 15.426 0.004 2
2459098.81564 15.377 0.002 2
2459098.82566 15.373 0.002 3
2459098.85842 15.377 0.002 1
2459098.88975 15.349 0.002 2
2459099.71998 15.366 0.001 2
2459099.72186 15.371 0.002 3
2459099.82260 15.364 0.002 1
2459099.84554 15.361 0.002 2
2459102.91368 15.349 0.009 2
2459106.69505 15.355 0.002 2
2459106.72978 15.372 0.002 3
2459106.73165 15.351 0.002 1
2459106.85693 15.379 0.002 2
2459107.77392 15.395 0.002 2
2459107.78412 15.355 0.002 3
2459107.80735 15.369 0.002 2
2459109.68571 15.364 0.002 3
2459109.68671 15.359 0.002 2
2459109.68765 15.352 0.002 1
2459109.75564 15.400 0.001 2
2459110.73919 15.369 0.002 2
2459110.75566 15.387 0.002 3
2459110.78583 15.361 0.002 2
2459110.79677 15.354 0.002 1
2459111.75145 15.376 0.001 3
2459111.75239 15.381 0.001 2
2459111.94232 15.357 0.002 2
2459112.69480 15.361 0.001 1
2459112.71033 15.364 0.001 3
2459112.84974 15.365 0.001 2
2459113.65419 15.351 0.001 2
2459113.77432 15.361 0.001 3
2459113.79667 15.373 0.001 1
2459113.80354 15.376 0.001 2
2459114.79681 15.376 0.001 2
2459114.80400 15.366 0.001 3
2459114.80494 15.376 0.001 2
2459115.78913 15.386 0.001 3
2459115.79006 15.369 0.001 2
2459115.79100 15.376 0.001 1
2459116.83400 15.357 0.001 3
2459116.84377 15.356 0.001 2
2459117.64797 15.378 0.002 2
2459117.84783 15.344 0.001 2
2459117.84876 15.369 0.001 3
2459118.71791 15.368 0.002 2
2459118.77829 15.379 0.002 1
2459118.82590 15.361 0.002 2
2459119.65363 15.351 0.002 2
2459119.88975 15.384 0.002 2
2459120.69687 15.343 0.002 2
2459121.65318 15.402 0.002 2
2459121.70265 15.367 0.002 3
2459121.70358 15.388 0.002 2
2459122.69673 15.342 0.003 2
2459122.71646 15.374 0.003 2
2459123.80209 15.359 0.004 1
2459123.80542 15.356 0.004 3
2459123.84050 15.390 0.004 2
2459124.74016 15.387 0.003 3
2459124.76238 15.374 0.003 2
2459124.77964 15.356 0.003 1
2459124.90211 15.333 0.004 2
2459125.60686 15.362 0.002 2
2459125.76226 15.378 0.002 1
2459125.76322 15.359 0.002 3
2459126.69203 15.380 0.002 3
2459126.87538 15.385 0.003 1
2459127.77181 15.319 0.016 3
2459127.88633 15.467 0.009 2
2459128.75133 15.370 0.002 3
2459128.75232 15.362 0.002 2
2459128.88826 15.351 0.005 2
2459129.70375 15.360 0.001 3
2459129.70468 15.353 0.001 2
2459129.70562 15.356 0.001 1
2459129.75974 15.356 0.002 2
2459130.70883 15.366 0.001 3
2459130.76896 15.377 0.001 2
2459130.80484 15.353 0.001 2
2459131.73016 15.361 0.001 3
2459131.73110 15.364 0.001 1
2459134.65368 15.386 0.001 1
2459134.65462 15.350 0.001 3
2459134.65652 15.367 0.001 2
2459134.69872 15.354 0.001 2
2459135.64855 15.372 0.001 2
2459135.76274 15.362 0.001 3
2459135.77028 15.379 0.001 2
2459136.65856 15.357 0.001 2
2459136.67568 15.373 0.001 3
2459136.67674 15.366 0.001 1
2459137.68137 15.362 0.001 2
2459137.68231 15.364 0.001 3
2459137.70651 15.359 0.001 2
2459138.62725 15.376 0.001 2
2459138.63883 15.354 0.001 3
2459138.65029 15.350 0.001 1
2459138.81162 15.371 0.002 2
2459139.73973 15.376 0.001 2
2459139.76405 15.359 0.001 3
2459139.76504 15.373 0.002 2
2459140.64029 15.384 0.001 3
2459140.64123 15.379 0.001 1
2459140.64217 15.376 0.001 2
2459140.75791 15.345 0.001 2
2459141.65006 15.353 0.001 2
2459141.66735 15.353 0.001 3
2459141.67507 15.391 0.001 2
2459142.64622 15.368 0.001 2
2459143.72436 15.363 0.001 2
2459144.69803 15.373 0.002 3
2459144.70620 15.388 0.001 1
2459144.73075 15.338 0.001 2
2459145.66362 15.351 0.001 3
2459145.67991 15.382 0.001 2
2459146.62349 15.339 0.010 2
2459146.62443 15.374 0.007 1
2459146.69928 15.357 0.002 2
2459147.79020 15.365 0.003 3
2459147.81826 15.355 0.004 2
2459149.60238 15.359 0.003 2
2459149.63386 15.358 0.005 3
2459149.63483 15.363 0.004 1
2459149.69453 15.357 0.003 2
