# Forced photometry light curve of ZTF18abktckv
# BJD mag mag_err PID
# 
2459016.89028 15.916 0.007 1
2459019.84379 15.899 0.002 1
2459022.89809 15.904 0.002 1
2459025.85600 15.898 0.002 1
2459028.88752 15.909 0.002 1
2459031.84149 15.900 0.003 1
2459035.94516 15.882 0.005 1
2459038.98286 15.892 0.004 1
2459041.87755 15.885 0.003 1
2459044.84525 15.892 0.002 1
2459047.94880 15.885 0.002 1
2459050.88309 15.911 0.002 1
2459053.87668 15.893 0.001 1
2459056.92569 15.894 0.002 1
2459056.94124 15.898 0.002 1
2459057.89996 15.900 0.002 1
2459059.90232 15.904 0.002 1
2459060.85076 15.892 0.003 1
2459062.88621 15.900 0.004 1
2459062.91950 15.919 0.004 1
2459065.73661 15.908 0.007 1
2459066.89381 15.901 0.005 1
2459067.86431 15.892 0.004 1
2459068.96366 15.900 0.004 1
2459071.95432 15.903 0.002 1
2459072.84456 15.879 0.002 1
2459072.87575 15.885 0.002 1
2459073.87687 15.893 0.002 1
2459075.84278 15.898 0.002 1
2459075.89477 15.912 0.002 1
2459077.87150 15.902 0.002 1
2459078.86903 15.898 0.002 1
2459078.89377 15.872 0.003 1
2459081.82973 15.916 0.002 1
2459081.84943 15.901 0.002 1
2459082.83925 15.894 0.003 1
2459084.84625 15.922 0.002 1
2459087.85234 15.909 0.002 1
2459088.78949 15.911 0.004 1
2459089.78663 15.916 0.003 1
2459090.78690 15.911 0.004 1
2459091.80381 15.889 0.004 1
2459092.80438 15.893 0.005 1
2459094.72707 15.915 0.008 1
2459095.82619 15.905 0.006 1
2459096.67753 15.871 0.004 2
2459097.69494 15.903 0.004 2
2459097.85262 15.879 0.004 3
2459097.85355 15.902 0.005 1
2459097.94229 15.969 0.009 2
2459098.73409 15.890 0.003 2
2459099.86768 15.919 0.004 3
2459099.88514 15.894 0.004 2
2459106.67500 15.892 0.003 2
2459106.78361 15.923 0.003 1
2459106.79602 15.919 0.003 3
2459106.82082 15.921 0.003 2
2459107.69315 15.917 0.003 2
2459107.83015 15.898 0.003 3
2459107.83567 15.906 0.003 2
2459108.79018 15.902 0.003 2
2459108.80260 15.901 0.003 3
2459108.81043 15.924 0.002 2
2459109.69537 15.917 0.003 2
2459109.80260 15.908 0.003 2
2459109.80353 15.911 0.002 3
2459109.81278 15.898 0.002 1
2459110.67106 15.928 0.002 2
2459110.80187 15.912 0.005 2
2459110.80279 15.957 0.006 3
2459111.66949 15.903 0.002 2
2459111.82608 15.904 0.002 3
2459111.84164 15.902 0.002 2
2459112.67053 15.908 0.002 2
2459112.79014 15.904 0.002 1
2459112.79106 15.927 0.002 3
2459112.79817 15.911 0.002 2
2459112.81125 15.898 0.002 1
2459113.69730 15.917 0.002 3
2459113.87186 15.917 0.002 2
2459114.71119 15.905 0.002 2
2459114.71165 15.916 0.002 1
2459114.73369 15.932 0.002 2
2459114.73465 15.908 0.002 3
2459115.71853 15.894 0.002 2
2459115.75910 15.899 0.002 3
2459115.76050 15.917 0.002 1
2459115.76153 15.911 0.002 2
2459116.71589 15.897 0.002 2
2459116.78051 15.898 0.002 3
2459116.79469 15.905 0.002 2
2459117.76852 15.900 0.003 1
2459117.82713 15.903 0.002 3
2459117.82813 15.897 0.002 2
2459118.69464 15.888 0.003 2
2459118.87364 15.944 0.002 2
2459119.69702 15.893 0.004 2
2459119.72180 15.911 0.003 1
2459119.87002 15.903 0.004 2
2459120.71731 15.890 0.004 2
2459120.77866 15.914 0.005 1
2459120.83899 15.889 0.005 2
2459121.69183 15.888 0.005 2
2459121.77816 15.904 0.005 3
2459121.79661 15.910 0.005 1
2459121.90175 15.904 0.007 2
2459122.73836 15.919 0.006 2
2459122.77068 15.925 0.006 1
2459122.86012 15.901 0.008 2
2459123.69377 15.923 0.006 1
2459124.63351 15.906 0.006 2
2459124.65963 15.893 0.005 3
2459125.71876 15.920 0.004 3
2459125.72284 15.916 0.004 1
2459125.72896 15.899 0.004 1
2459125.88641 15.900 0.008 2
2459126.72858 15.898 0.004 1
2459127.67454 15.899 0.018 2
2459127.73051 15.939 0.008 1
2459127.73145 15.909 0.009 3
2459127.74162 15.906 0.006 2
2459128.68790 15.906 0.003 3
2459128.68940 15.902 0.003 2
2459128.82859 15.890 0.004 2
2459129.78686 15.901 0.003 3
2459129.78780 15.903 0.003 2
2459129.78874 15.909 0.003 1
2459129.86555 15.908 0.004 2
2459130.67645 15.910 0.002 3
2459130.67738 15.908 0.002 2
2459130.86601 15.912 0.004 2
2459131.69734 15.912 0.002 3
2459131.70763 15.905 0.002 1
2459131.82636 15.912 0.004 2
2459134.71892 15.898 0.002 3
2459134.72620 15.920 0.002 1
2459134.74319 15.903 0.002 2
2459135.59691 15.884 0.003 2
2459135.74378 15.894 0.002 2
2459135.74528 15.907 0.002 3
2459136.64130 15.896 0.002 2
2459136.72074 15.898 0.002 3
2459136.72872 15.908 0.002 1
2459136.84354 15.929 0.002 2
2459137.72877 15.917 0.002 3
2459137.72971 15.902 0.002 2
2459137.74068 15.895 0.002 2
2459138.70261 15.909 0.002 3
2459138.70355 15.897 0.002 1
2459138.70449 15.913 0.002 2
2459138.71929 15.909 0.002 2
2459139.70194 15.910 0.002 2
2459139.70288 15.896 0.002 3
2459139.72096 15.912 0.002 2
2459140.66150 15.914 0.002 2
2459140.69765 15.913 0.002 1
2459140.69863 15.902 0.002 3
2459140.69963 15.904 0.002 2
2459141.72336 15.938 0.006 3
2459141.72429 15.894 0.010 2
2459141.80301 15.882 0.002 2
2459142.62907 15.898 0.002 2
2459143.68653 15.910 0.002 2
2459143.69941 15.892 0.002 3
2459143.70132 15.925 0.002 2
2459144.63522 15.911 0.002 2
2459144.68221 15.912 0.004 2
2459144.68365 15.926 0.004 1
2459144.68463 15.919 0.004 3
2459145.71661 15.893 0.002 2
2459145.71977 15.907 0.002 3
2459145.78381 15.904 0.002 2
2459146.64335 15.909 0.036 3
2459146.64431 15.905 0.018 1
2459146.64525 15.900 0.015 2
2459149.67712 15.900 0.005 2
2459149.74111 15.904 0.007 1
2459149.74205 15.930 0.007 3
2459149.81964 15.910 0.009 2
2459150.68284 15.905 0.004 2
2459150.68384 15.908 0.005 3
2459150.73700 15.911 0.005 2
2459151.65492 15.902 0.004 1
2459151.66509 15.896 0.005 3
2459152.62803 15.903 0.004 2
2459152.82274 15.919 0.011 2
2459153.65793 15.902 0.004 1
2459153.66617 15.889 0.005 2
2459153.74144 15.912 0.005 2
2459154.78321 15.901 0.007 3
2459154.78415 15.889 0.007 2
2459154.81639 15.908 0.008 2
2459155.64882 15.915 0.004 2
2459155.65214 15.900 0.004 3
2459155.66354 15.899 0.004 1
2459155.77305 15.878 0.005 2
2459156.61893 15.903 0.002 3
2459156.61986 15.904 0.003 2
2459158.68444 15.912 0.003 3
2459158.68593 15.929 0.003 2
2459158.68687 15.895 0.003 1
2459158.77541 15.897 0.006 2
2459164.70724 15.907 0.003 2
2459164.70818 15.906 0.003 3
2459164.70912 15.922 0.003 1
2459164.75997 15.924 0.005 2
2459165.65897 15.909 0.002 3
2459165.65995 15.911 0.002 2
2459165.69960 15.896 0.002 2
2459167.65391 15.905 0.002 3
2459167.65486 15.924 0.002 2
2459167.65579 15.905 0.002 1
2459168.66231 15.898 0.002 2
2459168.66278 15.896 0.002 3
2459168.70255 15.899 0.002 2
2459169.61048 15.910 0.002 3
2459169.61866 15.903 0.002 2
2459169.61960 15.917 0.002 1
2459169.73629 15.922 0.003 2
2459170.66289 15.905 0.002 3
2459170.70118 15.911 0.002 2
2459171.63270 15.893 0.002 3
2459171.63367 15.896 0.002 2
2459172.59953 15.915 0.002 2
2459172.61291 15.901 0.002 3
2459172.73472 15.917 0.003 2
2459173.63358 15.903 0.003 2
2459173.67578 15.903 0.005 3
2459174.63952 15.915 0.003 3
2459174.64046 15.902 0.003 2
2459175.58206 15.915 0.004 2
2459175.59322 15.916 0.003 1
2459175.59416 15.907 0.003 3
2459176.64411 15.873 0.018 3
2459177.61460 15.901 0.004 3
2459177.61561 15.898 0.004 2
2459178.62059 15.906 0.004 3
2459178.62152 15.889 0.003 2
2459179.63517 15.899 0.003 2
2459179.65680 15.920 0.004 1
2459179.65774 15.889 0.003 3
2459179.73622 15.915 0.006 2
2459180.63581 15.913 0.006 2
2459180.65812 15.922 0.007 3
2459180.72471 15.919 0.013 2
2459181.64285 15.911 0.006 2
2459181.65632 15.907 0.006 3
2459181.66302 15.902 0.008 1
2459181.72546 15.954 0.010 2
2459182.63962 15.914 0.005 2
2459183.63763 15.913 0.008 2
2459183.64507 15.945 0.008 1
2459185.60069 15.910 0.003 1
2459185.60162 15.909 0.003 3
2459185.60257 15.900 0.003 2
2459186.64258 15.904 0.005 3
2459187.59842 15.914 0.003 3
2459187.59941 15.915 0.002 2
2459188.63617 15.899 0.003 3
2459189.61695 15.908 0.003 3
2459189.61882 15.911 0.002 1
2459193.63846 15.853 0.007 3
2459195.63891 15.911 0.006 3
2459197.60109 15.918 0.009 3
2459197.60251 15.948 0.022 1
2459198.60170 15.918 0.002 3
2459199.65456 15.920 0.005 3
2459199.65550 15.927 0.005 1
2459200.65384 15.914 0.016 3
2459202.65710 15.904 0.005 1
2459202.66514 15.911 0.005 3
2459203.65388 15.941 0.005 3
2459204.59786 15.894 0.004 1
2459205.60090 15.892 0.003 3
2459206.62280 15.933 0.019 1
2459210.63869 15.963 0.010 1
2459215.66351 15.929 0.013 1
2459215.66444 15.973 0.014 3
2459220.64254 15.910 0.005 1
2459221.63674 15.920 0.012 3
2459320.95286 15.914 0.003 1
2459322.95275 15.879 0.003 1
2459325.94278 15.900 0.003 1
2459331.98261 15.880 0.010 1
2459336.95581 15.878 0.004 1
2459339.92812 15.893 0.002 1
2459342.97113 15.892 0.002 1
2459345.93193 15.891 0.002 1
2459348.94852 15.878 0.002 1
2459352.96885 15.891 0.002 1
2459356.94919 15.886 0.002 1
2459359.96430 15.863 0.004 1
2459362.93029 15.874 0.004 1
2459365.94695 15.869 0.004 1
2459367.95060 15.864 0.003 1
2459368.94880 15.877 0.002 2
2459369.90762 15.870 0.002 1
2459371.91223 15.870 0.002 1
2459374.90921 15.865 0.002 1
2459376.88470 15.861 0.002 1
2459379.92578 15.851 0.002 1
2459384.89862 15.860 0.002 1
2459387.86736 15.848 0.005 1
2459391.93648 15.799 0.004 1
2459393.84323 15.797 0.004 1
2459395.89892 15.742 0.004 1
2459397.94330 15.717 0.002 1
2459400.89760 15.328 0.003 1
2459402.84573 15.449 0.003 1
2459404.88672 15.638 0.003 1
2459406.88981 15.415 0.005 1
2459408.87614 15.634 0.003 1
2459410.95258 15.640 0.003 1
2459412.95555 15.602 0.002 1
2459415.94483 15.515 0.003 1
2459418.94104 15.449 0.006 1
2459424.80767 15.213 0.003 1
2459426.83556 15.124 0.003 1
2459428.81632 15.020 0.003 1
2459430.82731 14.914 0.002 1
2459435.89029 14.669 0.002 1
2459438.88709 14.595 0.002 1
2459440.78368 14.629 0.002 1
2459442.81824 14.719 0.002 1
2459450.91602 15.144 0.005 1
2459453.72621 15.260 0.003 1
2459455.74713 15.328 0.003 1
2459459.78360 15.468 0.002 1
2459461.71756 15.521 0.003 1
2459463.72374 15.571 0.003 1
2459465.81586 15.610 0.002 1
2459467.70044 15.642 0.003 1
2459471.78594 15.707 0.003 1
2459473.87910 15.732 0.002 1
2459476.76999 15.753 0.005 1
2459478.81478 15.760 0.006 1
2459480.81586 15.776 0.004 1
2459485.76251 15.829 0.003 1
2459487.72271 15.830 0.002 1
2459489.74536 15.830 0.002 1
2459491.76930 15.851 0.003 1
2459497.85613 15.868 0.005 1
2459502.73997 15.882 0.004 1
2459504.73114 15.889 0.008 1
2459510.71762 15.943 0.005 1
2459517.67493 15.887 0.002 1
2459520.68560 15.887 0.002 1
2459522.72064 15.885 0.002 1
2459524.66402 15.891 0.002 1
2459526.70940 15.887 0.002 1
2459529.71992 15.889 0.003 1
2459531.70567 15.917 0.005 1
2459537.70135 15.872 0.010 1
2459540.74213 15.903 0.007 1
2459542.61824 15.918 0.002 2
